IP Address,Reachable,Latency (ms)
192.168.35.134,Yes,8.110 ms
192.168.94.138,Yes,8.856 ms
8.8.8.8,Yes,68.948 ms
1.1.1.1,Yes,39.958 ms
24.54.65.23,No,-
